,ID,floor_area_sqm,mean_resale_price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Closest distance to a hotel,Closest distance to a park,Traffic lights within 500 meters,Parking lots within 500 meters
1021,block 320 JURONG EAST,119.0,415459.5833333333,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
1022,block 320 YISHUN,91.125,305114.1405610156,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1023,block 321 JURONG EAST,84.0,317613.6858108108,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
1024,block 321 YISHUN,92.11764705882354,289846.288657235,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1025,block 323 WOODLANDS,161.2,567560.4166666667,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1026,block 324 ANG MO KIO,98.0,474771.8418803419,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
1027,block 324 BUKIT BATOK,69.66666666666667,275094.11250000005,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
1028,block 324 GEYLANG,92.2,354186.05,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
1029,block 324 JURONG EAST,113.5,422412.90476190473,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
1030,block 324 SEMBAWANG,114.55555555555556,388638.253968254,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1031,block 324 SERANGOON,92.57142857142856,469734.7132034632,7533.190369947071,7533.190369947071,POINT (103.88071076652449 1.34987515),510.10654821249756,333.56376832574705,0,11
1032,block 324 YISHUN,142.57142857142858,535314.6512605043,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
1033,block 325 BUKIT BATOK,108.75,364362.64402791305,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
