ID,floor_area_sqm,mean_resale_price,geometry,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa
block 609 YISHUN,93.23076923076923,325872.7698771817,POINT (103.8336942 1.428136),16148.913016952925,16148.913016952925
block 610 YISHUN,91.6923076923077,335901.2902097902,POINT (103.8395409 1.438065),17125.649119290814,17125.649119290814
block 611 ANG MO KIO,72.125,321622.7873376623,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 611 BUKIT PANJANG,102.52380952380952,418246.15698143665,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 612 BUKIT PANJANG,103.3913043478261,416075.2277553084,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 612 WOODLANDS,113.89473684210526,370147.8731725146,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 613 BUKIT PANJANG,98.66666666666667,403301.25000000006,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 613 JURONG WEST,115.75,471073.63095238095,POINT (103.7058663 1.3434392),16176.255463545087,16176.255463545087
block 613B BEDOK,108.86666666666666,416761.7215686274,POINT (103.9314714 1.3256702),9057.217152985673,9057.217152985673
block 614 ANG MO KIO,148.7,741074.9573333333,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 614 WOODLANDS,114.93333333333334,374117.377860235,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 614 YISHUN,143.0909090909091,566281.7463203464,POINT (103.8403992 1.4377325),17076.156583567823,17076.156583567823
block 615 ANG MO KIO,152.58333333333334,724969.0555555556,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 615 BEDOK,70.6,284891.90757575753,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 615 BUKIT PANJANG,105.0,410150.7815569488,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 616 BUKIT PANJANG,87.16666666666667,354608.07024448423,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 617 BEDOK,60.3,246100.325,POINT (103.9101817 1.3244029),7016.56940172059,7016.56940172059
block 617 HOUGANG,80.66666666666667,324105.6072433193,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 617 YISHUN,85.26666666666667,311091.72142857144,POINT (103.8395409 1.438065),17125.649119290814,17125.649119290814
block 619 ANG MO KIO,110.85714285714286,490290.9841269841,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 619 CHOA CHU KANG,125.0,437449.7807017544,POINT (103.7508022218648 1.37424565),15352.791314381206,15352.791314381206
